name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
LOC112444162	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444163	7233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444164	3333	0	0	148	5	120	6	7	24	90	19	5	27	4	27	22	40	22	18	25	9	20	31	54
LOC112444165	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444167	1519	0	2	0	1	0	1	0	0	0	3	0	0	0	4	1	2	0	0	0	0	0	0	2
LOC112444168	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444170	2333	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	3	0	4	9	5	0
LOC112444171	3952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444172	1754	0	59	0	67	0	33	57	14	107	38	33	13	25	28	20	19	11	8	25	64	38	47	34
LOC112444173	439	0	31	48	12	56	6	28	85	0	20	27	10	34	17	39	26	9	15	6	67	40	137	132
LOC112444174	1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
LOC112444175	1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444176	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC112444177	3840	0	0	16	0	18	7	0	13	0	4	8	0	6	3	10	1	3	7	0	2	0	0	9
LOC112444180	533	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC112444181	684	0	21	0	0	0	0	0	38	0	1	0	6	26	7	2	13	0	0	2	26	10	75	16
LOC112444182	854	0	0	0	22	0	0	0	0	0	0	0	11	0	3	7	2	0	0	0	18	2	64	14
LOC112444183	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112444184	9971	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	4	1	10	0	3	11
LOC112444185	1651	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LOC112444186	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444187	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444189	2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444190	4831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
LOC112444192	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	3	4	0	8
LOC112444193	1474	0	10	3	13	33	6	0	7	0	8	15	5	1	5	0	4	0	0	1	0	8	0	10
LOC112444194	6102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC112444195	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444196	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444197	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444198	350	0	9	8	0	22	7	1	1	0	2	2	5	27	8	3	8	0	5	1	14	13	103	27
LOC112444199	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0
LOC112444200	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444201	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444202	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444203	1943	22	82	32	87	34	125	56	15	1	112	62	165	35	145	11	78	2	10	2	21	51	0	34
LOC112444204	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444205	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444206	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444207	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444208	380	0	0	7	0	0	2	6	0	0	0	4	0	2	4	1	1	0	0	0	9	7	0	0
LOC112444209	1711	0	0	50	14	47	34	142	44	16	58	120	16	64	79	58	63	15	9	12	18	33	1	67
LOC112444210	1371	0	0	0	0	0	3	0	0	0	0	5	0	0	3	0	0	0	0	0	0	2	0	0
LOC112444211	3285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444213	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444214	83	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC112444215	143	0	0	1	2	2	0	2	2	2	0	3	1	3	1	2	0	0	0	0	1	3	5	2
LOC112444216	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444217	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444218	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444219	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444220	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444222	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444227	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444228	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444229	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444230	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444231	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444232	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444233	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444234	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444235	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444236	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444237	104	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112444238	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444239	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444240	107	0	0	1	1	13	0	0	0	0	0	2	0	0	1	0	0	1	0	4	0	2	0	0
LOC112444241	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444242	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444244	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444245	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444246	105	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0
LOC112444247	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444248	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444250	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444251	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444252	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444253	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444254	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444255	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444256	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444276	1985	0	141	173	256	83	82	87	42	107	95	135	195	141	138	113	112	382	451	310	99	99	154	42
LOC112444277	1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112444278	1412	74	56	28	68	23	49	20	58	21	87	38	87	82	34	39	31	8	17	7	113	74	138	171
LOC112444279	4688	0	0	21	3	0	0	0	0	0	1	5	2	0	1	11	10	1	0	3	11	11	0	35
LOC112444280	1426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444281	831	0	7	2	6	3	4	1	2	1	0	0	10	2	12	2	6	0	4	2	0	18	0	4
LOC112444282	1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444283	1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444285	4899	0	1	0	1	1	0	5	0	0	10	4	5	3	5	1	2	0	2	1	4	11	9	15
LOC112444286	2018	0	82	39	48	125	31	121	24	0	24	83	100	54	56	85	63	3	1	2	63	46	103	41
LOC112444287	1706	0	0	52	6	5	20	35	2	38	11	3	2	5	5	17	20	0	4	2	10	11	51	30
LOC112444288	1361	791	299	189	331	460	312	327	146	326	196	280	237	271	212	346	324	26	30	36	863	917	1018	662
LOC112444289	666	19	13	7	30	57	29	31	14	77	23	6	54	29	45	14	17	0	3	5	20	18	62	48
LOC112444290	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444291	1075	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
LOC112444292	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444293	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444294	1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC112444295	2033	0	0	0	0	0	2	3	0	0	0	0	2	0	0	0	2	0	0	0	1	4	0	8
LOC112444296	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444297	1020	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	1	0	0	0	0	0	0
LOC112444299	360	0	0	0	8	0	6	19	8	0	2	0	0	0	0	1	0	3	8	2	4	0	0	3
LOC112444300	4575	0	0	0	51	0	0	23	0	0	0	0	14	0	0	7	3	0	0	0	0	1	0	0
LOC112444301	1348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444302	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444303	1408	6087	3438	4140	4306	5000	3593	4890	4226	5722	3571	4004	4590	5830	2620	4175	3359	1409	1543	2185	9227	9417	9600	9158
LOC112444304	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444305	627	0	0	5	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	7	7	0	0
LOC112444306	1160	1	0	0	2	0	0	20	16	0	3	0	2	0	3	0	12	0	4	0	12	8	0	0
LOC112444307	618	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	2	2	1	1	16	14
LOC112444308	1060	617	202	244	285	542	326	333	339	402	160	261	217	227	180	120	163	25	28	41	303	323	801	316
LOC112444309	5405	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
LOC112444310	5035	0	3	7	5	5	11	6	3	87	5	3	12	7	5	10	5	4	1	2	9	8	20	13
LOC112444311	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444313	627	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0
LOC112444315	369	0	0	16	0	0	12	0	29	0	5	6	3	17	9	7	9	1	6	1	21	13	11	22
LOC112444316	988	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
LOC112444317	995	0	0	18	5	35	0	0	0	0	12	16	11	12	29	48	32	12	20	20	36	44	0	18
LOC112444319	945	0	30	27	26	95	45	59	134	71	224	159	294	226	283	309	225	132	116	62	41	64	87	0
LOC112444320	1024	0	0	31	0	33	12	17	0	0	13	16	6	15	14	7	12	3	2	2	19	17	8	41
LOC112444321	526	69	8	15	10	22	5	2	2	26	7	6	9	6	6	7	7	3	2	2	8	17	26	139
LOC112444322	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444323	2871	0	70	9	38	8	9	65	40	26	22	25	7	13	42	2	38	13	20	24	6	18	53	9
LOC112444324	881	134	0	8	0	2	4	3	0	16	0	3	2	5	0	4	2	0	1	0	7	5	2	47
LOC112444326	3936	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0
LOC112444328	2493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112444329	3997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC112444330	1524	0	0	0	0	1	7	0	24	0	0	22	0	0	0	0	2	0	0	1	0	4	0	20
LOC112444331	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444332	1553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444333	6614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444334	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444335	637	0	0	0	0	0	18	0	17	0	7	10	0	0	0	2	1	0	1	3	0	0	0	0
LOC112444336	630	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444337	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444338	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444339	6308	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	0	2	0	116	0
LOC112444340	1555	0	0	0	0	0	1	0	0	0	0	0	0	5	5	7	2	1	2	1	0	3	0	0
LOC112444341	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444342	3036	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0
LOC112444343	2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC112444344	2911	0	46	0	0	0	10	0	4	0	17	7	0	2	0	0	2	0	1	2	0	0	0	0
LOC112444345	2918	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25
LOC112444346	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC112444347	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444348	3356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444349	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444350	1520	0	3	0	0	1	4	0	15	12	1	2	1	0	6	0	0	0	0	2	3	2	0	17
LOC112444351	3109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LOC112444352	1331	0	2	3	2	0	0	4	1	0	3	1	1	0	1	0	0	0	0	0	0	0	4	1
LOC112444355	788	153	108	79	85	155	92	146	104	112	51	89	96	107	87	89	91	66	69	100	224	263	174	144
LOC112444357	570	661	308	450	525	575	429	686	341	1312	351	398	345	265	294	218	271	37	59	76	191	198	269	330
LOC112444360	1708	1	59	80	62	28	85	103	63	106	24	76	42	60	48	21	40	4	8	9	99	98	175	127
LOC112444363	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
LOC112444364	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444365	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC112444366	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444367	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444368	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444369	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444370	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444371	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444372	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444373	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444374	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444375	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444376	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444378	102	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444380	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444382	134	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC112444383	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LOC112444384	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444385	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC112444386	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444387	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444388	131	0	0	0	0	0	0	17	0	0	0	0	0	11	7	0	2	0	0	0	3	5	0	1
LOC112444389	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444390	129	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
LOC112444391	127	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
LOC112444459	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444460	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444461	543	23	0	8	7	5	8	13	3	3	3	7	4	0	1	0	4	0	2	0	3	15	16	20
LOC112444462	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444463	1276	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	3	0	0
LOC112444465	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444466	3032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444469	13460	60	11	10	5	125	45	22	12	286	32	54	56	42	42	27	33	5	23	12	34	53	60	15
LOC112444470	2124	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444471	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444472	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0
LOC112444473	377	58	15	5	20	14	6	21	4	14	12	26	54	48	108	55	106	42	114	151	38	54	22	17
LOC112444474	2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112444476	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444477	324	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444478	3637	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	3	3	0	0	0	0
LOC112444479	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444480	1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444481	1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	12
LOC112444482	678	0	0	0	0	0	0	0	1	0	1	0	5	0	1	2	1	0	4	2	0	7	19	0
LOC112444483	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444484	8418	0	40	61	38	39	27	26	47	0	53	111	81	89	92	50	80	14	9	12	90	95	0	3
LOC112444485	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444486	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444487	1614	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
LOC112444488	4821	0	0	0	0	0	0	4	0	0	0	1	5	0	1	4	4	0	0	0	1	2	0	0
LOC112444489	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444492	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC112444493	1500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444494	471	0	0	1	0	26	1	21	7	0	20	10	9	5	16	10	25	8	4	5	27	25	19	13
LOC112444495	1899	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0
LOC112444496	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444497	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444498	8501	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	2	0	0	0	0	0
LOC112444499	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444500	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444501	5035	0	0	0	0	0	10	0	10	0	1	0	0	4	4	8	5	0	1	1	0	1	0	0
LOC112444502	3689	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC112444503	1158	0	0	1	0	5	0	4	0	0	2	1	1	0	3	1	3	2	1	0	1	6	14	13
LOC112444504	788	276	7	23	9	0	12	6	0	0	0	6	2	3	4	1	1	3	0	1	2	16	38	39
LOC112444505	4026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LOC112444506	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444507	291	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444508	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444509	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444510	907	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	11	0
LOC112444511	612	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	5	0	0	2
LOC112444512	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444513	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444514	474	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	1	0	0	0
LOC112444515	3533	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
LOC112444516	3141	0	0	0	0	0	0	0	1	0	0	0	3	2	1	3	0	0	0	2	9	0	55	0
LOC112444517	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444518	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444519	2112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444520	3006	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0
LOC112444522	2325	0	0	23	0	0	22	18	0	0	0	27	6	1	9	8	7	0	0	0	10	7	2	7
LOC112444523	761	0	4	35	1	6	0	23	8	0	27	29	25	36	14	11	8	1	6	4	7	0	47	17
LOC112444529	2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444531	1028	745	779	483	783	1596	917	1127	770	1401	691	845	674	543	884	1154	1716	39	57	46	1463	2192	891	809
LOC112444532	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444534	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444535	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112444536	3782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
