name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DLAT	3855	0	10	141	256	87	177	293	76	167	58	105	152	70	140	61	90	243	264	282	42	46	50	117
DLC1	8638	0	1	60	16	0	11	21	32	0	87	94	236	49	116	3	27	15	30	22	2	6	74	1
DLD	2290	1	91	94	90	11	54	73	6	0	11	20	96	48	70	16	25	1230	1395	1261	25	15	58	27
DLEC1	5579	0	552	454	564	200	338	511	770	255	460	654	698	387	493	185	282	44	44	39	155	105	252	166
DLEU7	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG1	5267	0	311	16	104	0	72	117	12	0	19	12	18	30	48	32	12	1292	1269	1064	3	17	34	26
DLG2	11347	1886	1545	1258	2067	1971	1791	1931	2453	2492	2170	2127	2529	2240	2549	1410	1963	385	407	389	855	1187	1218	762
DLG3	5156	0	18	159	143	104	67	65	68	329	179	221	111	283	305	318	253	69	96	98	118	122	42	2
DLG4	3613	0	110	143	218	283	254	350	279	518	218	313	248	393	480	293	568	42	21	38	285	306	122	239
DLG5	7722	557	497	862	1033	593	1089	1217	684	397	776	648	405	97	619	188	234	580	866	932	57	192	342	898
DLGAP1	6620	0	11	11	94	23	4	36	16	0	87	48	5	139	114	89	125	28	48	33	174	50	182	69
DLGAP2	6068	322	184	188	185	401	170	378	367	98	168	289	134	306	219	214	222	37	34	46	386	291	230	432
DLGAP3	4124	0	21	32	37	84	93	51	10	173	55	49	30	20	142	16	79	2	2	0	24	35	44	81
DLGAP4	10657	1012	781	596	900	1134	811	748	518	1365	1602	1429	3174	1718	3254	2179	4358	110	165	116	1304	2769	612	1284
DLGAP5	3180	2661	1722	2591	1467	698	703	1279	739	349	1272	482	1293	604	768	324	394	37445	26481	23183	235	234	1202	187
DLK1	1580	0	0	0	0	0	0	0	3	0	0	0	4	0	3	0	3	0	0	0	2	0	0	0
DLK2	1960	953	706	660	637	617	760	343	962	970	441	242	225	218	159	227	184	76	79	68	182	183	201	315
DLL1	5196	0	1	1	69	0	4	0	0	0	23	0	14	1	4	3	9	1	3	0	0	0	0	0
DLL3	2670	3596	673	615	759	1628	615	1876	447	1432	486	909	405	894	477	526	457	32	81	84	1007	1057	2502	2703
DLL4	3398	0	0	0	0	0	0	0	0	0	23	0	0	2	1	0	0	0	0	0	0	0	0	0
DLST	1964	0	448	338	396	243	167	180	306	0	541	191	194	227	484	164	428	74	109	82	92	205	86	135
DLX1	2188	0	0	0	0	0	11	0	0	0	0	6	42	0	7	2	10	0	0	0	0	0	0	0
DLX2	1261	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	2	0	0	0	0	0	0	0
